t	x_00	x_01	x_02	x_03	x_04	x_05	x_06	x_07	x_08	x_09	x_10	x_11	x_12	x_13	x_14	x_15	x_16	x_17	x_18	x_19	x_20	x_21	x_22	x_23	x_24	x_25	x_26	x_27	x_28	x_29	x_30	x_31	x_32	x_33	x_34	x_35	x_36	x_37	x_38	x_39
368d00h	1.724142280143621	-3.7160694947207915	2.2197401049177397	5.210526968448222	4.805368399523742	-4.733083580951343	-3.5468567838355702	-2.878554713748016	5.040575018857318	1.4454339527577935	-1.89536072363004	1.4931031835158879	7.588415778737819	-2.6777011079590896	1.4664842286051774	-0.5956948923008609	8.729895830481963	-0.25353615929365186	1.195462105491025	0.9268433875506255	2.605336276230292	7.4974327511106695	1.486996463956039	-4.130865256598834	1.606490327829159	8.957847027045334	3.4394713149718505	4.83607270907876	4.386848627059482	-3.1801439318665365	3.2091676030317906	2.94939368989092	5.767759657071871	8.673463359261142	1.5155655549202722	2.2492669590539105	1.0397142819699026	-2.7686944878754343	0.2011780703473921	5.758602107178673
368d06h	0.4422487516611542	-3.9850761022826626	2.779663689227065	5.0561276778111095	4.44709370271781	-5.972369876265346	-0.14632788849582923	-3.4187122494843685	6.039373771813553	2.7964205223465397	-2.374341943850045	2.3569697647967547	8.699331215176159	-3.7418547830925224	1.8143542240225905	2.5413182123227753	10.019275084016904	-0.05218696625614172	3.8318451228271866	1.784614274022407	2.310699438158886	8.236767359500792	-1.3200981902517914	-2.5929637258629206	-0.1295302755651211	9.366570976940297	3.1698789211233924	3.8387999384553773	1.5357470490354594	-4.318298313501735	4.20900389300666	5.540709986873988	4.332886917591032	9.535858759190926	1.272496844645696	2.390636220432757	0.7538521579212065	0.2938190629311115	0.9838660977228727	6.481007679066613
368d12h	0.3904935772916367	-2.881099200106075	1.5417465330207447	7.88283360785844	1.8693289516342575	-7.1507452986926054	1.1022539037540078	-2.464237315446861	2.1893614044198895	5.06615217324823	-1.093229546781329	2.427186548532129	8.02256233376733	-0.4234892951425635	0.4689648721222244	3.0116450887299497	8.240242370949343	1.8247400964162894	2.7231151246422862	2.5019385864317925	3.6572187099289457	6.147452647406363	-2.1374015522323613	-2.1221227316737283	-0.127610929284399	11.33947023956062	3.953307049952273	3.5836362961880353	0.7482946655486424	-1.8290679862854917	4.63897456291486	5.207389331334135	5.645535800529102	6.148273999852607	0.09860112830742307	2.5060782831043333	0.19535369889475307	-1.8049850876684466	0.5585976264314443	7.49457844950248
368d18h	-1.0685807992163463	-0.3057447504413382	1.0922206562385002	7.89351209972377	-1.8372406275340945	-6.165822733169358	2.4096053507046276	-0.4130635987817195	2.328971790666598	5.272555440328276	-1.9532300377529523	0.28089738594372826	7.255238077203108	0.09731653425728382	4.356122964527685	4.603916077318319	8.914736736776916	2.405705621243521	4.079244286912782	3.2220390288502054	3.751529089797457	7.157486325113618	-4.474509726369203	-2.0465818636730635	-0.6639452903859617	12.566565211844864	3.918255554722058	1.2247009393173323	1.2691059930426427	-1.4467977588809358	2.3792565268305337	6.835732137631096	7.243443339470722	5.83686182027023	-3.0612988017237805	1.369501607725828	1.4330981235554647	-1.8875962604662746	-0.4084936231964762	7.944710630011067
369d00h	-2.780588889906427	-0.6382401981559173	-0.09538627793387783	7.523695133377477	-1.7820078160377042	-4.446610123891812	2.4940946628795198	0.9430216122253526	2.2583517523196868	4.210408188118842	-2.5099618116278424	2.755252641049057	7.326016666163511	-1.0552665796604315	3.542123978574214	4.377826830788537	7.90574489258723	0.07616766651700604	1.9895332814751274	5.996379061417629	4.963796618814177	4.2871681262221015	-2.3832813380597093	0.9690834965711502	-1.1030125756481144	9.771278297783677	4.582974224972358	-1.557962972897839	3.24200996359227	0.18268912627456618	3.188318441528897	8.422846728607931	7.991583906284534	2.298846737028058	-1.9573296848678856	1.1174822957831148	1.7831210632357046	-1.4238832956207408	2.317209974759372	6.837487342956784
369d06h	-3.5518239199589874	1.057123253276885	1.5815984144436965	6.657395027774531	-3.341470718752205	-1.8222492384727476	2.7108220256500664	-0.6099323883891536	3.407141233039831	2.289803618746228	-0.2836723982540048	2.308459098623996	6.316134473119314	1.178927096556603	5.370089112702459	6.332493388581435	4.973190724436024	-0.8174908279490094	3.1712590451488385	6.667428213728313	4.116084671854422	0.8157583713814236	-2.7273546756964935	1.6492238224761273	1.3064128726926194	9.518334574455348	4.609640702939606	-1.110067267843247	3.3181731317465704	2.717371704979734	3.6339976750515715	10.51671974369866	4.965546680638925	-1.993483581097943	-1.5556593504923517	3.079671040979476	1.4189236887724952	0.866392024516273	1.996283626419614	7.899998571640264
369d12h	-3.0900499006464086	1.3612532037042158	2.1007098040248997	6.7102986447711945	-3.696135108404129	-1.7632162395956135	3.4017593341611434	2.3727132120616066	4.7687154402831	3.3468343633777096	-0.7375490763686138	2.1634318383577704	10.710848311025405	2.8397817664164022	2.86032501129248	8.546468402203285	5.857040015334878	-0.6014084563747971	1.7783990724004817	6.298035897788686	4.976337375715378	-0.08062554042550263	-3.729642376836095	1.8402073998804438	0.3794521456623847	10.205483172420212	2.585423306238449	-2.5582351681777817	3.911872408516201	2.3960674155577286	4.237985579377216	10.237071216449106	0.6157467936587451	-4.412259268664332	-1.5369448424935896	3.0707084930102484	1.490422828544376	0.4508981508824407	1.707220922655859	5.1056402388049715
369d18h	-1.6444150606788683	0.3025136844205254	2.4667297302370232	6.398857514238561	-4.594995196929719	-1.3363837942199823	1.7832525295454482	2.693918692234983	6.150363421306527	4.481792839672943	-0.15117627546552126	2.3054738648420257	9.085761889725132	2.2247444814361668	5.601737967302676	8.808604846559764	2.5295624210759295	-2.154386916574105	2.8455898350413573	7.162778324562442	3.6551466145706426	0.34484224403233055	-3.846779458068646	0.47264524461016677	2.5662851632034234	10.591764956508634	0.0920346188603855	-4.421484248383494	4.281753799173638	5.378901603040291	6.034924906258697	10.874519365888604	-3.182343562877786	-0.4837236283323607	-0.9299610299556181	3.767152102380037	2.272014583064681	0.48055231228009154	2.3949418032027032	6.547209684915271
370d00h	0.9545228483121222	3.589207827712818	3.087064535625933	5.735510387753173	-6.602228111405285	0.6417663353348888	1.7875708818280114	3.3165409362623177	6.2861093106913435	2.2756784121675753	-0.6525015640373398	1.8799973467521605	9.719123511116766	4.058035317663425	4.044663942798982	7.317314369334955	1.6836267898295785	-2.363585170848926	3.00156420649495	8.035708305777062	1.2561373913894562	-2.857781761625805	-2.6535942697392336	1.9205404885320212	3.1469400222584816	10.521513539207945	-2.079783863482919	-3.42716159097379	3.48443032779998	7.015814716768592	5.82705517058939	6.809606052630021	-5.262881367680044	-0.3357581629652975	-2.662008564721466	1.428408140841599	2.964532056903162	0.8512698827624011	3.375683373895601	4.70865757846983
370d06h	-2.028629166094052	3.2772082177972157	5.261360112011642	4.280945426731839	-3.887516325163104	0.22068752253263946	2.7632788956984555	4.575599585834604	5.8712747767852775	1.9312177556202719	-2.791971996192626	1.9876983682563658	9.43498973404653	6.812141368874112	4.696146353713084	8.418647132522162	-1.3852624176748622	-0.04450317528887593	2.4136367577108575	6.670510864984054	0.41040765698536075	-2.3893793918586295	-1.2315214455944743	1.3628410180303778	6.934932186690176	8.213609701762561	-3.857037447591184	-0.3906146026283253	2.6586314958166963	6.510617298989981	6.565265774064724	3.1487169559995833	-5.830659562691841	3.1872811191141053	-0.6722190657873416	3.5086581115522657	4.122354185529891	0.8604281616994359	4.037061310458982	6.704087073537401
